"","gender","age","trust_politicians","vote","freedom","satisfied_democracy"
"823",2,35,1,2,1,0
"824",2,58,1,1,2,0
"825",2,25,6,1,1,10
"826",2,26,6,2,2,7
"827",2,28,7,1,3,9
"828",2,73,7,1,2,8
"829",2,84,8,1,2,9
"830",2,68,6,1,2,8
"831",2,52,6,1,4,7
"832",2,31,6,1,5,10
"833",2,39,4,2,1,5
"834",1,51,6,1,4,8
"835",1,38,5,1,1,6
"836",2,36,5,1,1,9
"837",1,51,8,2,3,9
"838",1,52,7,1,4,7
"839",2,38,7,1,2,8
"840",1,16,8,NA,4,8
"841",1,64,9,1,3,9
"842",2,44,5,1,2,8
"843",2,33,5,1,1,3
"844",1,69,6,1,4,7
"845",1,67,9,1,1,9
"846",2,52,7,1,3,8
"847",1,26,6,1,5,7
"848",1,47,9,1,1,10
"849",2,49,6,1,3,9
"850",1,43,6,1,4,8
"851",1,71,6,1,2,8
"852",1,43,8,1,2,7
"853",2,50,2,NA,2,4
"854",2,64,5,1,1,9
"855",2,22,8,2,3,10
"856",2,60,5,1,2,7
"857",2,63,7,1,4,7
"858",2,70,8,1,1,8
"859",2,32,8,NA,2,10
"860",2,67,8,1,1,7
"861",1,17,8,NA,2,10
"862",2,63,0,1,4,10
"863",1,28,6,1,1,8
"864",1,33,7,1,3,10
"865",1,33,6,1,2,7
"866",1,77,8,1,5,8
"867",2,31,7,1,3,7
"868",1,34,5,1,2,8
"869",1,17,7,2,2,8
"870",2,34,6,1,2,8
"871",2,39,7,NA,3,NA
"872",2,30,5,1,3,6
"873",2,56,7,1,1,9
"874",1,65,3,1,1,10
"875",2,64,5,1,4,9
"876",1,42,5,1,3,3
"877",1,64,7,1,2,8
"878",2,77,7,1,2,6
"879",1,43,7,1,5,9
"880",2,46,6,1,2,8
"881",1,68,7,1,2,9
"882",1,23,5,1,2,7
"883",1,48,5,1,1,10
"884",1,69,6,NA,NA,9
"885",1,57,10,1,1,9
"886",1,59,5,1,4,5
"887",1,42,3,1,1,6
"888",2,23,5,1,1,5
"889",2,78,2,2,2,9
"890",1,31,7,1,4,8
"891",2,23,6,1,2,8
"892",2,55,7,1,2,7
"893",2,32,2,1,2,2
"894",1,24,7,1,NA,8
"895",1,39,7,1,1,9
"896",2,57,7,1,1,7
"897",1,54,7,2,1,9
"898",2,25,6,1,2,9
"899",1,57,7,1,3,7
"900",2,16,4,2,1,8
"901",1,48,7,2,3,8
"902",1,31,4,1,2,6
"903",1,36,6,1,3,8
"904",1,70,6,1,1,6
"905",2,37,7,1,3,9
"906",2,65,5,1,1,6
"907",2,68,4,NA,1,5
"908",1,46,3,1,1,4
"909",2,38,7,1,2,7
"910",1,33,5,1,3,7
"911",1,42,6,1,2,8
"912",1,66,2,1,1,4
